,Date,Consumption,Wind,Solar,Wind+Solar
3833,2016-06-30,1420.479,151.654,123.378,275.032
3834,2016-07-01,1397.573,252.986,167.25000000000003,420.236
3835,2016-07-02,1173.694,267.166,105.32899999999998,372.495
3836,2016-07-03,1064.1180000000004,184.803,161.292,346.09500000000014
3837,2016-07-04,1375.6119999999994,55.84799999999999,183.524,239.372
3838,2016-07-05,1416.8410000000006,337.0750000000001,166.21300000000005,503.288
3839,2016-07-06,1413.5970000000002,430.53,182.117,612.6469999999998
3840,2016-07-07,1400.1619999999998,112.99299999999998,217.736,330.7290000000001
3841,2016-07-08,1393.535,230.053,170.852,400.90500000000014
3842,2016-07-09,1167.211,202.267,180.61,382.8770000000002
3843,2016-07-10,1088.476,189.08400000000003,213.024,402.108
3844,2016-07-11,1408.131,330.19700000000006,167.829,498.02600000000007
3845,2016-07-12,1418.6629999999998,149.814,118.051,267.865
3846,2016-07-13,1392.8839999999998,66.368,123.384,189.752
3847,2016-07-14,1395.8550000000007,304.15,117.361,421.511
3848,2016-07-15,1362.975,287.953,129.00400000000002,416.957
3849,2016-07-16,1142.2480000000005,126.345,157.543,283.8880000000001
3850,2016-07-17,1065.412,105.56300000000002,140.82100000000003,246.38400000000004
3851,2016-07-18,1371.539,103.149,185.38299999999998,288.53199999999987
3852,2016-07-19,1399.1629999999998,43.356,208.40400000000002,251.76
3853,2016-07-20,1419.223,139.19199999999998,221.74599999999998,360.93800000000016
3854,2016-07-21,1419.3189999999993,82.85000000000002,139.66299999999998,222.51300000000003
3855,2016-07-22,1386.894,68.983,172.88300000000004,241.86599999999999
3856,2016-07-23,1167.148,39.23,138.54399999999998,177.77400000000003
3857,2016-07-24,1076.257,17.042,164.82100000000003,181.86300000000003
3858,2016-07-25,1382.122,45.95700000000001,159.209,205.166
3859,2016-07-26,1401.714,39.085,151.243,190.32800000000003
3860,2016-07-27,1396.6149999999998,86.50899999999996,144.98,231.489
3861,2016-07-28,1383.221,48.287000000000006,143.428,191.715
3862,2016-07-29,1351.6609999999996,125.464,149.903,275.367
3863,2016-07-30,1142.74,108.953,163.95400000000004,272.90700000000004
3864,2016-07-31,1054.524,70.32999999999998,96.64,166.97
3865,2016-08-01,1321.9400000000005,136.10799999999998,171.73599999999996,307.84399999999994
3866,2016-08-02,1356.852,91.28499999999998,82.12299999999998,173.408
3867,2016-08-03,1382.4480000000005,275.575,101.85799999999999,377.43300000000005
3868,2016-08-04,1376.755,237.706,136.499,374.20500000000015
3869,2016-08-05,1333.8470000000002,136.095,104.52,240.615
3870,2016-08-06,1126.2380000000005,162.14600000000004,141.83700000000005,303.98300000000006
3871,2016-08-07,1038.178,219.447,198.06500000000003,417.512
3872,2016-08-08,1339.9519999999995,350.032,172.57600000000005,522.6080000000002
3873,2016-08-09,1348.4029999999998,191.31500000000003,110.44499999999998,301.75999999999993
3874,2016-08-10,1342.669,178.86099999999996,127.484,306.345
3875,2016-08-11,1336.4730000000004,193.68099999999995,145.30399999999997,338.98500000000007
3876,2016-08-12,1332.2979999999998,190.515,63.61600000000001,254.13100000000003
3877,2016-08-13,1134.6860000000001,263.6280000000001,175.705,439.333
3878,2016-08-14,1036.969,98.414,166.92600000000004,265.34000000000003
3879,2016-08-15,1286.423,64.96699999999998,173.78400000000005,238.75100000000003
3880,2016-08-16,1346.943,63.30799999999999,183.882,247.19
3881,2016-08-17,1342.2179999999996,45.538999999999994,188.33300000000003,233.872
3882,2016-08-18,1354.9949999999994,47.81100000000001,161.67900000000003,209.49
3883,2016-08-19,1341.0120000000004,50.566,166.27400000000003,216.84000000000003
3884,2016-08-20,1143.5340000000006,147.60700000000003,110.18500000000002,257.79200000000003
3885,2016-08-21,1042.629,246.759,125.987,372.746
3886,2016-08-22,1357.5179999999998,179.294,125.14500000000002,304.439
3887,2016-08-23,1389.3649999999998,59.53100000000001,172.38400000000001,231.915
3888,2016-08-24,1405.5739999999994,120.302,197.84,318.142
3889,2016-08-25,1414.684,180.961,199.40400000000002,380.365
3890,2016-08-26,1399.2990000000002,126.573,191.312,317.8850000000001
3891,2016-08-27,1183.501,91.286,185.59500000000003,276.8809999999999
3892,2016-08-28,1095.56,215.476,162.50799999999995,377.98400000000004
3893,2016-08-29,1401.3239999999994,228.76299999999995,109.809,338.57199999999995
3894,2016-08-30,1387.894,86.649,178.61700000000005,265.26599999999996
3895,2016-08-31,1401.4260000000006,62.14300000000002,188.46600000000004,250.609
3896,2016-09-01,1407.5200000000002,77.946,147.092,225.03800000000007
3897,2016-09-02,1382.375,104.55300000000004,164.30900000000003,268.862
3898,2016-09-03,1156.702,109.43799999999996,136.41599999999997,245.854
3899,2016-09-04,1091.754,272.30999999999995,77.08700000000002,349.39699999999993
3900,2016-09-05,1384.297,137.31400000000002,92.802,230.116
3901,2016-09-06,1398.7539999999995,51.471,160.063,211.534
3902,2016-09-07,1405.1160000000002,78.32900000000002,178.62,256.949
3903,2016-09-08,1420.9589999999994,114.339,177.86099999999996,292.19999999999993
3904,2016-09-09,1392.97,62.263999999999996,154.78900000000004,217.053
3905,2016-09-10,1173.3010000000004,59.95100000000001,162.47199999999995,222.423
3906,2016-09-11,1088.362,71.635,146.761,218.396
3907,2016-09-12,1409.9869999999994,90.561,164.97600000000003,255.53699999999995
3908,2016-09-13,1446.8239999999994,161.695,163.84299999999996,325.538
3909,2016-09-14,1442.332,226.50099999999998,161.42600000000004,387.92699999999996
3910,2016-09-15,1436.4209999999994,263.849,153.03799999999995,416.88699999999983
3911,2016-09-16,1397.158,87.37299999999998,99.221,186.59400000000005
3912,2016-09-17,1179.558,182.262,49.46699999999999,231.729
3913,2016-09-18,1087.556,186.179,64.64999999999999,250.82900000000004
3914,2016-09-19,1389.524,55.54800000000001,60.986,116.534
3915,2016-09-20,1410.447,24.112,79.26799999999999,103.38
3916,2016-09-21,1407.2020000000002,38.319,130.4,168.71900000000005
3917,2016-09-22,1401.531,31.322,146.984,178.30599999999995
3918,2016-09-23,1383.836,74.25699999999998,123.53299999999999,197.79
3919,2016-09-24,1160.873,91.76799999999999,147.248,239.016
3920,2016-09-25,1074.47,176.28000000000003,153.542,329.82199999999995
3921,2016-09-26,1394.293,51.975,111.499,163.47400000000005
3922,2016-09-27,1422.983,139.471,123.347,262.818
3923,2016-09-28,1435.4920000000006,463.103,101.805,564.9079999999999
3924,2016-09-29,1436.7970000000007,514.5169999999998,127.18900000000002,641.7060000000001
3925,2016-09-30,1403.626,223.673,87.73400000000002,311.4070000000001
3926,2016-10-01,1175.987,111.09700000000001,65.25800000000001,176.35500000000005
3927,2016-10-02,1081.6829999999998,183.43400000000003,69.52599999999998,252.96
3928,2016-10-03,1105.1950000000004,193.54,66.70200000000001,260.242
3929,2016-10-04,1422.066,363.24800000000016,77.26799999999999,440.51599999999996
3930,2016-10-05,1455.8629999999994,375.078,108.76000000000002,483.83800000000014
3931,2016-10-06,1489.8080000000002,336.55300000000005,28.99300000000001,365.546
3932,2016-10-07,1452.49,147.23299999999998,43.97,191.203
3933,2016-10-08,1233.1539999999998,136.66400000000002,56.455,193.11900000000009
3934,2016-10-09,1143.149,64.24700000000001,68.378,132.62499999999997
3935,2016-10-10,1456.0390000000007,35.62999999999999,64.50399999999999,100.134
3936,2016-10-11,1494.2240000000006,178.16099999999997,48.841,227.002
3937,2016-10-12,1495.956,197.458,47.868,245.326
3938,2016-10-13,1503.5710000000001,331.642,53.25100000000001,384.893
3939,2016-10-14,1477.9530000000002,419.21800000000013,69.783,489.00100000000015
3940,2016-10-15,1243.613,210.1,55.67900000000001,265.77900000000005
3941,2016-10-16,1136.2669999999996,125.356,97.23299999999999,222.58900000000003
3942,2016-10-17,1461.4140000000002,132.59000000000003,46.778999999999996,179.36900000000003
3943,2016-10-18,1489.6219999999994,164.324,42.428,206.752
3944,2016-10-19,1503.5650000000005,204.847,38.16999999999999,243.017
3945,2016-10-20,1506.2040000000006,144.763,38.41,183.173
